order_id,customer_name,email,product,quantity,unit_price,order_date,city,total_price
1000,Charlie,charlie48@example.com,Tablet,5,502.6,2025-02-21,Rennes,2513.0
1001,Alice,alice86@example.com,Headphones,5,1303.13,2025-03-28,Paris,6515.65
1002,Eva,eva37@example.com,Headphones,1,694.13,2025-03-26,Toulouse,694.13
1003,Isa,isa82@example.com,Keyboard,5,514.55,2025-02-05,Nice,2572.75
1004,Alice,alice81@example.com,Mouse,2,131.17,2025-02-20,Lyon,262.34
1005,Charlie,no_email@example.com,Keyboard,5,1385.96,2025-02-14,Rennes,6929.8
1006,Charlie,charlie59@example.com,Tablet,1,738.6,2025-01-31,Bordeaux,738.6
1007,Diana,diana5@example.com,Monitor,1,483.59,2025-02-18,Marseille,483.59
1008,Eva,eva34@example.com,Laptop,5,947.14,2025-03-21,Lyon,4735.7
1009,Alice,alice36@example.com,Smartwatch,4,299.56,2025-03-31,Bordeaux,1198.24
1010,Manon,manon47@example.com,Phone,5,1113.15,2025-03-13,Lyon,5565.75
1011,Frank,frank28@example.com,Smartwatch,1,682.26,2025-03-31,Toulouse,682.26
1012,Hugo,hugo81@example.com,Headphones,1,965.26,2025-03-02,Paris,965.26
1014,Isa,isa31@example.com,Mouse,2,361.65,2025-03-20,Rennes,723.3
1015,Bob,bob80@example.com,Keyboard,3,1100.91,2025-02-24,Unknown,3302.73
1016,Bob,bob81@example.com,Tablet,5,803.6,2025-03-11,Nantes,4018.0
1018,Nathan,nathan75@example.com,Phone,4,1086.09,2025-03-25,Toulouse,4344.36
1019,Bob,bob20@example.com,Headphones,2,1470.8,2025-03-29,Lyon,2941.6
1020,Frank,frank19@example.com,Phone,5,230.87,2025-03-18,Strasbourg,1154.35
1021,Frank,frank27@example.com,Keyboard,4,662.7,2025-03-01,Lille,2650.8
1022,Olivia,olivia22@example.com,Headphones,3,354.74,2025-02-11,Marseille,1064.22
1023,Julien,julien97@example.com,Headphones,1,764.38,2025-03-21,Marseille,764.38
1024,Charlie,charlie31@example.com,Laptop,3,293.06,2025-02-28,Marseille,879.18
1025,Eva,eva5@example.com,Keyboard,3,970.44,2025-03-29,Strasbourg,2911.32
